sec;sdate;NAV BK DB
IXIIT;2024-02-01;560,958
IXIIT;2024-02-02;565,1208
IXIIT;2024-02-05;560,6234
IXIIT;2024-02-06;563,5589
IXIIT;2024-02-07;565,5875
IXIIT;2024-02-12;572,6725
IXIIT;2024-02-13;568,6013
IXIIT;2024-02-15;576,8541
IXIIT;2024-02-16;579,8706
IXIIT;2024-02-19;575,2462
IXIIT;2024-02-20;581,9332
IXIIT;2024-02-21;580,5242
IXIIT;2024-02-22;576,2527
IXIIT;2024-02-23;571,0541
IXIIT;2024-02-26;570,0664
IXIIT;2024-02-27;570,3127
IXIIT;2024-02-28;573,3961
IXIIT;2024-02-29;569,5166
IXIIT;2024-03-01;568,3961
IXIIT;2024-03-04;565,6622
IXIIT;2024-03-05;564,5975
IXIIT;2024-03-06;572,5323
IXIIT;2024-03-07;574,0991
IXIIT;2024-03-08;576,6472
IXIIT;2024-03-13;578,4126
IXIIT;2024-03-14;587,1682
IXIIT;2024-03-15;580,9939
IXIIT;2024-03-18;578,2178
IXIIT;2024-03-19;581,0897
IXIIT;2024-03-20;583,4618
IXIIT;2024-03-21;584,0904
IXIIT;2024-03-22;584,6394
IXIIT;2024-03-25;589,7077
IXIIT;2024-03-26;586,931
IXIIT;2024-03-27;582,2969
IXIIT;2024-03-28;579,7306
IXIIT;2024-04-01;569,8075
IXIIT;2024-04-02;569,04
IXIIT;2024-04-03;560,4553
IXIIT;2024-04-04;567,445
IXIIT;2024-04-05;565,0383
IXIIT;2024-04-16;548,6554
IXIIT;2024-04-17;546,2759
IXIIT;2024-04-18;550,3175
IXIIT;2024-04-19;541,9516
IXIIT;2024-04-22;542,6241
IXIIT;2024-04-23;545,6423
IXIIT;2024-04-24;547,7383
IXIIT;2024-04-25;543,197
IXIIT;2024-04-26;528,6841
IXIIT;2024-04-29;538,4587
IXIIT;2024-04-30;545,5585
IXIIT;2024-05-02;527,5331
IXIIT;2024-05-03;530,0176
IXIIT;2024-05-06;531,8654
IXIIT;2024-05-07;527,0218
IXIIT;2024-05-08;525,4853
IXIIT;2024-05-13;525,7857
IXIIT;2024-05-14;526,236
IXIIT;2024-05-15;530,4233
IXIIT;2024-05-16;538,4304
IXIIT;2024-05-17;544,7325
IXIIT;2024-05-20;536,4856
IXIIT;2024-05-21;526,7012
IXIIT;2024-05-22;529,2032
IXIIT;2024-05-27;517,5255
IXIIT;2024-05-28;523,0897
IXIIT;2024-05-29;512,8573
IXIIT;2024-05-30;509,3902
IXIIT;2024-05-31;508,931
IXIIT;2024-06-03;521,0557
IXIIT;2024-06-04;521,7507
IXIIT;2024-06-05;516,6841
IXIIT;2024-06-06;522,8406
IXIIT;2024-06-07;519,5114
IXIIT;2024-06-10;519,4563
IXIIT;2024-06-11;507,3133
IXIIT;2024-06-12;504,1902
IXIIT;2024-06-13;501,8897
IXIIT;2024-06-14;492,1496
IXIIT;2024-06-19;489,5188
IXIIT;2024-06-20;500,0789
IXIIT;2024-06-21;511,046
IXIIT;2024-06-24;509,7299
IXIIT;2024-06-25;507,885
IXIIT;2024-06-26;506,7162
IXIIT;2024-06-27;514,1113
IXIIT;2024-06-28;523,8687
IXIIT;2024-07-01;528,3161
IXIIT;2024-07-02;525,9246
IXIIT;2024-07-03;529,2506
IXIIT;2024-07-04;530,5985
IXIIT;2024-07-05;535,3748
IXIIT;2024-07-08;535,3522
IXIIT;2024-07-09;538,9416
IXIIT;2024-07-10;539,8509
IXIIT;2024-07-11;540,3779
IXIIT;2024-07-12;543,5144
IXIIT;2024-07-15;538,9476
IXIIT;2024-07-16;534,345
IXIIT;2024-07-17;538,8029
IXIIT;2024-07-18;546,8961
IXIIT;2024-07-19;545,2006
